Year,CPI,deflatorFactor
1914,1.0,1
1915,2.0,1.02
1916,12.6,1.14852
1917,18.1,1.35640212
1918,20.4,1.63310815248
1919,14.5,1.8699088345896
1920,2.6,1.91852646428893
1921,-10.8,1.71132560614573
1922,-2.3,1.67196511720438
1923,2.4,1.71209228001729
1924,0.0,1.71209228001729
1925,3.5,1.7720155098179
1926,-1.1,1.7525233392099
1927,-2.3,1.71221530240807
1928,-1.2,1.69166871877917
1929,0.6,1.70181873109185
1930,-6.4,1.59290233230197
1931,-9.3,1.44476241539789
1932,-10.3,1.29595188661191
1933,0.8,1.30631950170481
1934,1.5,1.32591429423038
1935,3.0,1.36569172305729
1936,1.4,1.38481140718009
1937,2.9,1.42497093798831
1938,-2.8,1.38507175172464
1939,0.0,1.38507175172464
1940,0.7,1.39476725398671
1941,9.9,1.53284921213139
1942,9.0,1.67080564122322
1943,3.0,1.72092981045992
1944,2.3,1.7605111961005
1945,2.2,1.79924244241471
1946,18.1,2.12490532449177
1947,8.8,2.31189699304705
1948,3.0,2.38125390283846
1949,-2.1,2.33124757087885
1950,5.9,2.4687911775607
1951,6.0,2.61691864821434
1952,0.8,2.63785399740005
1953,0.7,2.65631897538185
1954,-0.7,2.63772474255418
1955,0.4,2.6482756415244
1956,3.0,2.72772391077013
1957,2.9,2.80682790418246
1958,1.8,2.85735080645774
1959,1.7,2.90592577016752
1960,1.4,2.94660873094987
1961,0.7,2.96723499206652
1962,1.3,3.00580904696338
1963,1.6,3.05390199171479
1964,1.0,3.08444101163194
1965,1.9,3.14304539085295
1966,3.5,3.2530519795328
1967,3.0,3.35064353891878
1968,4.7,3.50812378524796
1969,6.2,3.72562745993333
1970,5.6,3.9342625976896
1971,3.3,4.06409326341336
1972,3.4,4.20227243436941
1973,8.7,4.56787013615955
1974,12.3,5.12971816290717
1975,6.9,5.48366871614776
1976,4.9,5.752368483239
1977,6.7,6.13777717161601
1978,9.0,6.69017711706145
1979,13.3,7.57997067363062
1980,12.5,8.52746700783445
1981,8.9,9.28641157153172
1982,3.8,9.63929521124993
1983,3.8,10.0055884292774
1984,3.9,10.3958063780192
1985,3.8,10.7908470203839
1986,1.1,10.9095463376081
1987,4.4,11.3895663764629
1988,4.4,11.8907072970273
1989,4.6,12.4376798326906
1990,6.1,13.1963783024847
1991,3.1,13.6054660298617
1992,2.9,14.0000245447277
1993,2.7,14.3780252074353
1994,2.7,14.7662318880361
1995,2.5,15.135387685237
1996,3.3,15.6348554788498
1997,1.7,15.9006480219902
1998,1.6,16.155058390342
1999,2.7,16.5912449668812
2000,3.4,17.1553472957552
2001,1.6,17.4298328524873
2002,2.4,17.848148840947
2003,1.9,18.187263668925
2004,3.3,18.7874433699995
2005,3.4,19.4262164445795
2006,2.5,19.911871855694
2007,4.1,20.7282586017775
2008,0.1,20.7489868603793
2009,2.7,21.3092095056095
2010,1.5,21.6288476481936
2011,3.0,22.2777130776394
2012,1.7,22.6564341999593
2013,1.5,22.9962807129587
2014,0.8,23.1802509586624
2015,0.7,23.342512715373
2016,2.1,23.8327054823958
2017,2.1,24.3331922975261
2018,1.9,24.7955229511791
2019,2.3,25.3658199790562
2020,1.4,25.720941458763
2021,7.0,27.5214073608764
